PUNTO_VENTA;CODIGO_PDV;PV.NOMBRE||'|'||EQU.NOMBRE;SFLEX.PKG_CIFRAR.FUN_DECRYPT(EQU.DIRECCION_MAC)
17758;20279; LA 13 BELEN | LA 13 BELEN;4C:CC:6A:D7:11:7E
17764;20271; LA NOVENA | LA NOVENA;D8:BB:C1:95:CE:54
17894;20249; LA PLAZA SAN MARTIN | LA PLAZA SAN MARTIN ;A8:A1:59:99:31:F0
17927;300009; OFICINA LAS MARGARITAS | margaritas;10:9C:23:EC:2A:41
17810;302797; SP31006869EGARCIA | SP31006869EGARCIA;D9:D7:39:16:93:6E
300616;302759; TAT SP1121917278GGUASCA | TAT SP1121917278GGUASCA;DF:10:EE:84:4C:70
300616;302756; TAT SP1121917278GGUASCA | SP1121917278GGUASCA;3.55E+19
18766;302819; TAT SP1193110594LVARGAS | 4426 TAT SP1193110594LVARGAS;D0:AD:08:1C:73:01
16166;20368;1137 ASADERO BRAZA ROJA | ASADERO BRAZA ROJA;D8:BB:C1:04:39:2A
17388;20128;1489 ANOCHECER LLANERO | ANOCHECER LLANERO;30:9C:23:9B:12:C8
17375;20129;1490 ANTONIO PINILLA | ANTONIO PINILLA;4C:CC:6A:D7:12:CD
17376;20180;1491 ANTONIO PINILLA 2 | ANTONIO PINILLA 2;2C:F0:5D:22:DD:04
17377;20130;1492 ANTONIO VILLAVICENCIO | ANTONIO VILLAVICENCIO;1C:69:7A:1C:09:A5
17389;20131;1493 ARIGUANI | ARIGUANI;30:9C:23:DC:20:6F
17362;21158;1497  BUENOS AIRES 2 | BUENOS AIRES 2;30:9C:23:28:19:AE
17363;20132;1498 CAMELIAS | CAMELIAS;30:9C:23:28:1B:90
17364;20133;1501 CEMERCA | CEMERCA;30:9C:23:1F:0D:DF
17378;20134;1503 COVISAN | COVISAN;2C:F0:5D:EB:19:9C
17372;20135;1504 DANUBIO | DANUBIO;1C:69:7A:17:4F:CF
17385;20136;1505 DELIRIO | DELIRIO;1C:69:7A:1C:08:49
17365;20137;1509 ESCUELA MANANTIAL | ESCUELA MANANTIAL;2C:F0:5D:EA:89:D7
17366;20138;1511 ESTACION CUSIANA | ESTACION CUSIANA;2C:F0:5D:EA:8A:8F
17391;20139;1512 ESTERO | ESTERO;2C:F0:5D:EA:89:67
17393;20140;1516 HACARITAMA | HACARITAMA;30:9C:23:DC:50:01
17416;20141;1523 LA SALLE RELIQUIA | LA SALLE RELIQUIA;D8:CB:8A:EB:C2:61
17373;20142;1528 MANANTIAL | MANANTIAL;1C:69:7A:17:46:50
17395;20143;1531 MI LLANURA | MI LLANURA;04:7C:16:B4:17:F1
17379;20144;1533 MORICHAL | MORICHAL;A8:A1:59:78:82:31
17417;20145;1534 OFICINA EL REY | OFICINA EL REY;30:9C:23:DC:57:AA
17396;20146;1547 PRIMAVERA | PRIMAVERA;B8:AE:ED:32:7B:C3
17367;21126;1550 RECRERO | RECRERO;2C:F0:5D:EA:89:B1
